Accuracy;Parameter;TestFehle;dauer;name;seed
0.5843215407408539;criterion =entropy ,splitter =best,max_depth =30;0.41567845925914615;0.15001845359802246;DecisionTreeClassifier;10
0.6278876979783915;criterion =gini ,splitter =random,max_depth =30;0.3721123020216085;0.004796266555786133;DecisionTreeClassifier;10
0.6264585921173461;criterion =gini ,splitter =best,max_depth =30;0.3735414078826539;0.05619692802429199;DecisionTreeClassifier;10
0.6297586334378975;hidden_layer_sizes =(5, 10, 5) activation = relu solver = sgd alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.3702413665621025;0.8692424297332764;MLPClassifier;10
0.6297586334378975;hidden_layer_sizes =(5, 10, 5) activation = relu solver = sgd alpha =1e-06 learning_rate=constant momentum = 0.9;0.3702413665621025;0.8964159488677979;MLPClassifier;10
0.6297586334378975;hidden_layer_sizes =(5, 10, 5) activation = logistic solver = sgd alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.3702413665621025;0.6370000839233398;MLPClassifier;10
0.6297586334378975;hidden_layer_sizes =(5, 10, 5) activation = logistic solver = sgd alpha =1e-06 learning_rate=constant momentum = 0.9;0.3702413665621025;0.3880486488342285;MLPClassifier;10
0.6492620503949434;hidden_layer_sizes =(5, 10, 5) activation = relu solver = lbfgs alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.35073794960505655;0.33989453315734863;MLPClassifier;10
0.6271795848037995;hidden_layer_sizes =(5, 10, 5) activation = relu solver = lbfgs alpha =1e-06 learning_rate=constant momentum = 0.9;0.37282041519620046;0.3446202278137207;MLPClassifier;10
0.6203307750457826;hidden_layer_sizes =(5, 10, 5) activation = logistic solver = lbfgs alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.3796692249542174;0.4118657112121582;MLPClassifier;10
0.6148732762146216;hidden_layer_sizes =(5, 10, 5) activation = logistic solver = lbfgs alpha =1e-06 learning_rate=constant momentum = 0.9;0.3851267237853784;0.4349994659423828;MLPClassifier;10
0.6434070136913854;hidden_layer_sizes =(5, 10, 5) activation = relu solver = adam alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.3565929863086146;1.0033984184265137;MLPClassifier;10
0.6483429121884167;hidden_layer_sizes =(5, 10, 5) activation = relu solver = adam alpha =1e-06 learning_rate=constant momentum = 0.9;0.35165708781158334;1.0320227146148682;MLPClassifier;10
0.6297586334378975;hidden_layer_sizes =(5, 10, 5) activation = logistic solver = adam alpha =1e-06 learning_rate=adaptive momentum = 0.9;0.3702413665621025;1.1039526462554932;MLPClassifier;10
0.6297586334378975;hidden_layer_sizes =(5, 10, 5) activation = logistic solver = adam alpha =1e-06 learning_rate=constant momentum = 0.9;0.3702413665621025;1.0884230136871338;MLPClassifier;10
